,Unnamed: 0,DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,LOCATION,Cross Street,LAT,LON,num_offenses,HOUR,WEEKDAY
0,984283,240119881,10/12/2024 0:00,2024-10-11,1632,1,Central,185,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,55,F,H,203.0,OTHER BUSINESS,,,IC,Invest Cont,1100    MAPLE                        AV,,34.0388,-118.2574,1,16,Friday
1,365652,210910656,6/18/2021 0:00,2021-06-18,1400,9,Van Nuys,976,1,510,VEHICLE - STOLEN,,37.55386270419843,,H,108.0,PARKING LOT,,,IC,Invest Cont,13300    MOORPARK                     ST,,34.1504,-118.4228,1,14,Friday
2,67010,200812594,8/3/2020 0:00,2020-07-21,400,8,West LA,824,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1822 1606 1202,70,F,W,104.0,DRIVEWAY,,,IC,Invest Cont,800    LATIMER                      RD,,34.0434,-118.5124,1,4,Tuesday
3,719809,230715147,9/28/2023 0:00,2023-09-21,1300,7,Wilshire,774,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,52,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,1700 S  LA BREA                      AV,,34.0442,-118.346,1,13,Thursday
4,253292,211911800,8/9/2021 0:00,2021-08-09,35,19,Mission,1913,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,50,M,W,101.0,STREET,,,AA,Adult Arrest,GLENOAKS,POLK                         ST,34.3077,-118.4498,1,0,Monday
5,206365,211812939,7/1/2021 0:00,2021-07-01,1200,18,Southeast,1822,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 0444 1300 1814,43,M,B,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,100 W  97TH                         ST,,33.9483,-118.2745,1,12,Thursday
6,258944,210809099,5/7/2021 0:00,2021-05-07,1715,8,West LA,881,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 1420 1402 0445 2004 0910,27,M,B,954.0,MTA - EXPO LINE - EXPO/BUNDY,204.0,FOLDING KNIFE,AA,Adult Arrest,EXPOSITION,BUNDY,34.0315,-118.4526,2,17,Friday
7,682871,231205980,1/3/2023 0:00,2023-01-03,630,12,77th Street,1249,2,625,OTHER ASSAULT,0447 1822,31,F,H,101.0,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,W  64TH                         ST,S  FIGUEROA                     ST,33.9813,-118.2827,1,6,Tuesday
8,524678,221814962,7/29/2022 0:00,2022-07-29,1900,18,Southeast,1837,2,624,BATTERY - SIMPLE ASSAULT,0913 0416 0444 0602 0561,45,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,1800 E  106TH                        ST,,33.9398,-118.2406,1,19,Friday
9,388623,211708235,5/7/2021 0:00,2021-04-29,2015,17,Devonshire,1764,2,922,CHILD STEALING,1501,25,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,9700    MELVIN                       AV,,34.2464,-118.5601,1,20,Thursday
